Video grb6Oej_kD0
[03:32] 表现出了少有的反骨
[03:34] 他在3日的记者会上
[03:36] 面对外媒逼问还有什么脸面
[03:39] 赖在特首位置上
[03:40] 他说了一句意味深长的话
[03:43] 打破利益藩篱不管涉及到谁
[03:46] 不管背景多硬一定要查个水落石出
[03:50] 大家听听这弦外之音
[03:53] 在中共的官场语言里
[03:55] 官员通常只会说依法办事
[03:58] 如果特意强调不管涉及到谁
[04:01] 这通常意味著已经涉及到了惹不起的人
[04:04] 李家超等于是在向北京喊话呢
[04:07] 材料是你们皇亲国戚送进来的
[04:11] 钱是你们拿走的祸是你们闯的
[04:15] 现在想借我的项上人头一用 没门
[04:18] 所以说这场大火已经不仅仅是民生灾难
[04:22] 它已经成了特区政府和北京之间
[04:25] 地方实力派与权贵家族之间
[04:28] 一场你死我活的博弈筹码
[04:33] 就在香港那边狗咬狗
[04:35] 李家超誓死不背锅的时候
[04:38] 掌管中纪委的阎王爷李希
[04:41] 突然从公众视野中消失了十多天
[04:44] 在中共高层的运作规律中
[04:47] 这种级别的人物在危机时刻隐身
[04:50] 绝对属于顶级的异常状况
[04:53] 关于李希的去向
[04:54] 目前主要有两种截然相反的推测
[04:57] 每一种都令人细思极恐
[05:00] 第一种说法李希出事了
[05:02] 认为习近平对他不满正在进行内部清洗
[05:05] 但第二种说法目前在海外情报圈流传更广
[05:10] 也更符合逻辑李希不是被抓而是反水了
[05:15] 或者说他正在执行一个
[05:17] 针对包子阵营的绝密任务
[05:19] 有来自北京圈子的爆料称
[05:21] 李希目前身在西山指挥所
[05:24] 受到了军方实权人物
[05:25] 也就是张又侠的严密保护
[05:27] 而他在西山地下指挥所里彻查的
[05:30] 正是我们刚才提到的
[05:32] 建国以来第一腐败窝案
[05:34] 彭氏家族在香港和广东的敛财黑幕
[05:38] 这听起来很不可思议吗
[05:41] 大家别忘了李希的底色
[05:43] 虽然他现在被视为习近平的刀把子
[05:46] 但他起家是在陕西曾是赵乐际的秘书长
[05:49] 更是王岐山一手提拔起来的干将
[05:52] 在中共的派系光谱里
[05:54] 他从来就不是纯正的习家军
[05:57] 现在看来他极有可能是元老派
[06:00] 安插在老习身边埋得最深的一颗暗桩
[06:04] 更有一个让人毛骨悚然的细节
[06:07] 印证了这场博弈的惨烈程度
[06:09] 就在李希神秘隐身
[06:12] 准备提审关键证人的同一时间
[06:14] 海外媒体爆出猛料
[06:16] 马兴瑞当年的贴身秘书
[06:18] 后来一路跟到新疆当办公厅主任的李光禄
[06:21] 突然传出离奇死亡的消息
[06:23] 为什么是一个秘书
[06:25] 大家别小看这个李光禄
[06:27] 他最早是警察司机出身请注意
[06:30] 在中共官场领导最信任的人
[06:33] 往往不是副手而是司机
[06:36] 当年马兴瑞在深圳和新疆搞钱
[06:39] 那些成车成车的现金
[06:41] 那些通过地下钱庄洗到海外的几千亿资产
[06:44] 据说全都是这个司机一手操办的
[06:48] 说白了他就是习家和马家之间
[06:50] 一辆活著的人肉运钞车
[06:53] 现在李希要查案最缺的就是人证
[06:56] 只要李光禄开口
[06:58] 彭家族在香港和新疆的黑账
[07:01] 瞬间就能大白于天下
[07:03] 所以这个节骨眼上李光禄离奇死亡
[07:08] 甚至是传闻中的被灭口
[07:11] 逻辑上完全讲得通
[07:13] 习派这是在抢时间
[07:15] 抢在李希审讯之前
[07:17] 把最关键的证人变成死人
[07:19] 因为死人是不会说话的
[07:21] 习近平让李希当包公
[07:23] 本来是想让他去斩政敌的头
[07:26] 结果万万没想到李希这把狗头铡
[07:29] 在张又侠和元老们的支持下
[07:32] 现在正悬在习近平全家的脖子上
[07:35] 这也就完美解释了为什么李家超
[07:37] 在香港敢硬刚北京
[07:38] 因为他看懂了风向
[07:40] 中纪委的枪口已经调转了
[07:42] 这次查的不是特首而是皇亲国戚
[07:48] 但朋友们如果我们把视角拉高
[07:51] 会发现这些都只是前线的战术动作
[07:55] 在很多北京观察家眼里
[07:57] 真正的战略指挥部可能隐藏在更深的地方
[08:00] 那个在二十大闭幕式上被强行架离
[08:04] 满头白发的老人胡锦涛
[08:06] 或许正在全面布局B计划
[08:09] 传闻称就在几天前
[08:11] 议事协调机构会议秘密召开
[08:14] 胡锦涛、温家宝、李瑞环、曾庆红
[08:17] 这些元老都参加了
[08:19] 会上胡锦涛正式提出动议
[08:22] 鉴于当前国内外严峻形势
[08:24] 提议提前召开二十一大
[08:26] 解决最高领导人的接班问题
[08:28] 这就是直接逼宫
[08:30] 温家宝、李瑞环、汪洋这些元老
[08:33] 全部投了赞成票
[08:35] 甚至连张又侠代表的军方也点头了
[08:39] 但是老习这十年的经营不是白给的
[08:43] 蔡奇、李强、丁薛祥这些现任常委
[08:47] 死死守住了投票权
[08:49] 票数一统计没过三分之二
[08:52] 包子以为他又赢了
[08:54] 以为元老们还是那群只会开会
[08:57] 只会发牢骚的老干部
[08:59] 但这一次他错了会议结束后
[09:02] 胡锦涛对身边的张又侠说了一句话
[09:06] 他们赌我们只会走程序
[09:09] 那我们就让他们知道
[09:10] 不走程序他们会更难受
[09:13] 这就是胡锦涛的B计划
[09:16] 既然常委里面反对票太多
[09:19] 那就让反对票变少
[09:21] 如果抓走2个剩下的票数
[09:23] 不就够三分之二了吗
[09:25] 这就能解释为什么陈伟俊
[09:28] 要被往死里审
[09:29] 大家别忘了陈伟俊不仅是马兴瑞的管家
[09:33] 他更是李强当年在浙江提拔起来的亲信
[09:37] 中新网的履历写得明明白白
[09:40] 陈伟俊是浙江宁海人
[09:41] 李强当省长他是湖州市长
[09:45] 审陈伟俊剑指的就是国务院总理李强
[09:48] 李希在查的香港案子
[09:50] 随时可能把战火烧向那个叫得最凶的蔡奇
[09:54] 禁闻网甚至爆料
[09:56] 蔡奇现在面临一个恐怖承诺
[09:59] 要么反习要么就曝光他掩盖
[10:01] 彭家70亿黑洞的证据
[10:04] 70亿黑洞是怎么回事
[10:06] 这事儿得从彭丽媛的那个白手套
[10:09] 荣丽说起
[10:10] 情报显示马兴瑞的前妻荣丽
[10:13] 已经被军纪委秘密扣查了
[10:16] 她在审讯中坦白
[10:18] 彭丽媛家族利用慈善基金会
[10:21] 艺术项目做掩护
[10:22] 在海外洗钱高达70亿人民币
[10:26] 而在这个过程中
[10:28] 是谁在利用中央办公厅的权力
[10:31] 帮她们销毁证据转移资金打通关节
[10:35] 正是这位大内总管蔡奇
[10:38] 更要命的是这里面还牵扯出一桩人命案
[10:42] 大家可能还记得
[10:44] 今年9月著名演员于朦胧突然坠楼身亡
[10:48] 现在的爆料说于朦胧死前吞下了一个U盘
[10:52] 里面藏著的就是蔡奇家族
[10:54] 甚至是他私生子辛奇
[10:57] 参与洗钱和潜规则的证据
[11:00] 反对派现在拿著这个U盘
[11:02] 拿著荣丽的口供
[11:04] 直接把刀架在了蔡奇的脖子上
[11:06] 为什么蔡奇最近在公开场合讲话
[11:10] 突然开始大谈反腐刀刃向内
[11:13] 那是因为他怕了
[11:15] 他在向张又侠和元老们示弱
[11:18] 胡锦涛的算盘很清楚
[11:19] 春节之前必须有一位正国级的常委
[11:23] 因为身体原因或者政治问题下课
[11:26] 如果蔡奇反水
[11:28] 那习近平就真的成了孤家寡人
[11:31] 如果不反那蔡奇全家
[11:34] 连同那个70亿黑洞
[11:36] 马上就会被公之于众
[11:38] 还是压垮习政权的最后一根稻草
[11:41] 朋友们我们看这些高官落马
[11:44] 看香港的大火看中南海的刀光剑影
[11:47] 恒大的700亿投名状
[11:49] 温州的影子银行航天系的万亿黑金
[11:53] 这些天文数字的背后
[11:54] 其实是中共体制的一种晚期癌变
[11:57] 大家回头看看当年马兴瑞袁家军这些人
[12:02] 他们刚出道的时候都被认为是能吏
[12:06] 是技术官僚是来干实事的
[12:09] 马兴瑞和袁家军
[12:11] 那曾是中国航天的双子星
[12:14] 是把神舟飞船送上天的人
[12:16] 但在绝对的权力面前
[12:18] 在缺乏监督的黑箱里能吏变成了巨贪
[12:23] 技术变成了敛财的工具
[12:25] 实事变成了家族分赃的盛宴
[12:28] 现在张又侠举起了枪杆子
[12:31] 很多人问张又侠是在救党吗
[12:33] 是在救习吗
[12:35] 还是由胡锦涛指挥著在清君侧
[12:38] 其实到了这一步救谁已经不重要了
[12:42] 重要的是这台庞大的国家机器
[12:45] 它的操作系统已经崩溃了
[12:47] 当航天双子星陨落
[12:49] 当之江新军人人自危
[12:51] 当香港的特首都开始跳船
[12:53] 谁还来维持这个政权的运转
[12:56] 真相就像香港的那把火
[12:57] 一旦烧起来是包不住的
[13:00] 江峰会陪著大家一直盯著这场大火
[13:03] 直到它烧穿铁幕露出黎明
[13:06] 如果觉得今天的节目解气过瘾
[13:09] 请点赞订阅打开小铃铛
[13:11] 我们下期见
