Video Ah451Y8TLVU
[03:29] 相當於在大牆裡又加了一道『牆中牆』」
[03:32] 專家指出
[03:33] 這意味著審查權正在下沉
[03:36] 地方政府在網絡管控中擁有更大操作空間
[03:40] 可能導致各地網絡環境更加割裂
[03:43] 一位北京的時政觀察人士指出
[03:46] 中央在互聯網安全工程上的投入巨大
[03:49] 「甚至被認為超過部分大外宣經費」
[03:53] 他認為
[03:54] 這類測試與即將到來的
[03:56] 重大政治活動時間上高度重合
[03:59] 顯示當局在做「數字版戰備」準備
[04:02] 雖然外界不斷傳言習的身體狀況
[04:06] 但是中共黨媒新華社20號報道
[04:09] 當天中午
[04:10] 習近平率中央代表團到達拉薩
[04:13] 王滬寧 蔡奇同機抵達
[04:16] 出席西藏自治區成立60周年的慶祝活動
[04:20] 這是北戴河會議後
[04:21] 習的首次現身
[04:23] 詭異的是
[04:24] 政協副主席胡春華
[04:25] 和中央軍委委員張升民
[04:28] 這兩位習近平的敵對陣營中的中堅人物
[04:31] 也隨同習出訪西藏
[04:34] 箇中暗含政治信號不簡單
[04:36] 北戴河會議期間
[04:38] 有傳聞會議結果敲定
[04:40] 習近平已回天無力
[04:42] 由丁薛祥任書記
[04:44] 張又俠任軍委主席
[04:46] 胡春華進政治局任第一副總理
[04:49] 總之
[04:50] 胡春華的政治命運
[04:51] 已經和習近平形成了政治對賭
[04:54] 習近平昌
[04:55] 胡春華衰
[04:56] 胡春華昌
[04:58] 則習近平衰
[04:59] 另外
[04:59] 2021年7月習近平訪藏
[05:02] 作為軍委排名第二的副主席張又俠
[05:05] 現身陪同
[05:07] 8月20日
[05:08] 理應是何衛東出席陪同
[05:11] 但何衛東已經被張又俠清洗了
[05:13] 如果習近平真的掌握軍權
[05:16] 理應是張又俠隨行護駕
[05:18] 而張又俠卻偏偏隱身
[05:20] 改成讓軍中刀把子
[05:22] 收拾習派軍中親信的操刀手
[05:25] 張升民出面隨訪
[05:27] 與其說是陪同
[05:28] 不如說是監軍與威嚇
[05:31] 現在
[05:31] 距9月3日北京天安門閱兵只剩幾週
[05:35] 前海軍中校姚誠說
[05:37] 他從北京軍委大院一位
[05:39] 退休軍官處得到的消息說
[05:41] 閱兵指揮部制定了一個應急方案
[05:44] 第一套計劃
[05:45] 是習近平閱兵
[05:47] 第二套計劃
[05:48] 就是習近平身體出現狀況不能閱兵
[05:51] 只能是張又俠來閱兵
[05:54] 也許還有第三套計劃
[05:55] 如果習近平和張又俠兩個鬧僵了
[05:58] 找個折中方案
[06:00] 讓第三個人來閱兵
[06:02] 旅美政論家唐靖遠對大紀元表示
[06:05] 中共現在面臨著兩件大事
[06:08] 一個是搞閱兵
[06:09] 另外一個就是在十月份的四中全會
[06:12] 但四中全會更重要
[06:14] 唐靖遠認為
[06:16] 四中全會可能涉及到重大的人事變動
[06:19] 比如涉及重要實權位置的人事變動
[06:23] 可以作為觀察習近平是不是
[06:25] 還真的掌握著權力的指標
[06:28] 觀眾朋友們
[06:29] 請問您也覺得93閱兵
[06:31] 由誰來主持閱兵
[06:32] 並不能表示
[06:33] 他就是真正掌握軍權的人嗎
[06:42] 人上了年紀
[06:43] 可能會擔心身體各項指標不穩定
[06:46] 不要緊
[06:47] 代謝寶可以幫助您輕鬆調理好身體
[06:50] 它是天然草本配方
[06:52] 不含有任何化學添加劑
[06:55] 吃著安心
[06:56] 用著放心
[06:57] 簡單說
[06:58] 『代謝寶』就像是幫您的身體按下了’加速鍵’
[07:02] 該排的排出去
[07:03] 該調的調順暢
[07:05] 整個人輕鬆了
[07:06] 氣色也會跟著好起來
[07:08] 養生
[07:09] 講究的是’順’
[07:10] 代謝順了
[07:11] 人就不容易出問題
[07:12] 別等到不舒服了才後悔
[07:15] 現在開始調理
[07:17] 就相當於給未來買了一份保險
[07:20] 代謝寶養生很簡單
[07:22] 一杯溫水
[07:23] 每天兩次食用
[07:25] 有個好消息告訴你
[07:26] 我們現在推出折扣優惠活動
[07:29] 凡是購買時輸入我的優惠碼WZY10
[07:34] 可享受10%的優惠
[07:36] 請上健康520網站
[07:37] 購買正品
[07:39] 好了我們接下來看新聞
[07:47] 在進行談判的同時
[07:49] 烏克蘭軍隊近日在前線發動反擊
[07:52] 成功在紅軍城一帶俘虜大批俄軍
[07:55] 並重創俄  多處軍事據點
[07:58] 據烏克蘭消息
[08:00] 烏軍近期出動米格-29戰機
[08:03] 搭載法國提供的AASM「鐵錘」
[08:06] 精準導引炸彈
[08:07] 對俄軍在烏東的基地進行轟炸
[08:10] 畫面顯示
[08:11] 遭擊中的俄軍基地冒出大量濃煙
[08:15] 除了空襲
[08:16] 烏軍第82獨立空降突擊旅
[08:18] 也在紅軍城附近發起突襲
[08:21] 連續攻擊了多處俄軍據點
[08:23] 戰鬥中有幾十名俄軍選擇投降
[08:26] 並被烏軍俘虜
[08:28] 烏方甚至公布部分俘虜的姓名 部隊番號
[08:32] 分析認為意在削弱俄軍士氣
[08:35] 不過
[08:36] 有俄軍士兵在投降過程中遇到險境
[08:40] X帳號「Bandera Fella」指出
[08:42] 一名俄軍試圖向烏克蘭無人機投降
[08:46] 但卻被自己的同伴丟擲炸彈攻擊
[08:49] 導致受到重傷
[08:50] 不過這個士兵最後還是
[08:52] 成功進入烏軍的控制區
[08:54] 成為了俘虜
[08:55] 與此同時
[08:57] X 推主「MAKS 25」也發出視頻
[09:00] 展示烏軍無人機部隊
[09:02] 於當地時間 16 日
[09:04] 在庫爾斯克  雷爾斯克的
[09:05] 霍穆托夫卡  公路
[09:07] 襲擊了俄軍  北方集團軍副司令
[09:10] 阿巴喬夫 中將搭乘的汽車
[09:12] 導致阿巴喬夫中將身受重傷
[09:15] 如果消息屬實
[09:16] 將是俄軍近期的重大損失
[09:19] 另外
[09:20] 烏克蘭政府20號宣布
[09:21] 正式終止與伊朗之間
[09:23] 有關外交和公務護照持有人
[09:26] 免簽入境的協議
[09:28] 這份協議於1993年在基輔簽署
[09:31] 烏克蘭最高  拉達政府代表  梅利尼丘克
[09:35] 透過Telegram表示
[09:37] 協議已不再生效
[09:38] 之前
[09:39] 早在2024年11月
[09:41] 基輔就已經取消了與伊朗的空中交通協議
[09:44] 烏方指控伊朗在俄烏戰爭中
[09:47] 協助俄羅斯
[09:54] 美國川普總統20日稍早發文怒斥
[09:57] 太陽光電  和 風電產業是世紀騙局
[10:01] 仰賴兩者的州都面臨能源成本大幅飆升
[10:05] 且破壞農地
[10:06] 他在Truth Social發文提到
[10:09] 我們不會再批准風電
[10:11] 或那些破壞農田的光伏項目
[10:14] 美國的“愚蠢時代”已經結束
[10:16] 川普同時引用美國環境保護局
[10:19] 局長  李修頓  的說法
[10:21] 環保局已著手終止各類
[10:23] 「濫用與浪費」的綠能基金
[10:26] 強調已經取消超過290億美元的相關支出
[10:30] 金額相當於環保署年度預算的3倍以上
[10:34] 美國農業部19日發布聲明公告
[10:37] 美國農業部將不再動用納稅人的
[10:39] 資金在可耕地上安裝太陽能板
[10:43] 且禁止使用由敵對國家製造的太陽能板
[10:47] 於美國農業部的項目中
[10:49] 美國農業部指出
[10:50] 在過去 30 年中
[10:51] 僅田納西州就已失去超過
[10:54] 120 萬英畝的農地
[10:56] 並預計到 2027 年將再損失 200 萬英畝
[11:00] 自 2012 年以來
[11:02] 全美國安裝於農
[11:03] 地上的太陽能板數量已增加近 50%
[11:07] 這正是農業部採取行動的原因
[11:10] 美國農業部長  羅林斯  提到
[11:13] 優質農地不應該被浪
[11:14] 費
[11:15] 不能被「綠色新政」
[11:17] 補貼的太陽能板所取代
[11:19] 此前據彭博報導
[11:21] 美國政府上週五公布
[11:23] 最新太陽能稅務減免指導原則
[11:26] 限縮適用減稅的資格
[11:28] 根據新規
[11:29] 住宅太陽能系統仍符合
[11:31] 舊規的稅務減免資格
[11:33] 大型計畫將受制於新規定
[11:37] 實體建設須完成到一定程度
[11:39] 才符合稅額扣抵條件
[11:42] 但相關限制沒有市場先前擔心的那麼嚴苛
[11:46] 獨立時評人蔡慎坤對此點評說
[11:49] 在川普看來
[11:50] 還有一個更重要的問題
[11:52] 就是西方國家力推風電和太陽能
[11:55] 而自己又沒有產業基礎
[11:57] 這些產品完全依賴中國製造
[12:00] 放棄價廉質優的核電和火電
[12:03] 把國家能源產業押在中共身上
[12:06] 無異於自掘墳墓
[12:14] 再次提醒您
[12:15] 我們希望之聲tv
[12:16] 每天都會為您帶來最新資訊
[12:19] 記得訂閱並打開小鈴鐺
[12:21] 就不會錯過啦
[12:23] 中共軍工體系震盪不斷
[12:26] 電子信息裝備的重要供應商
[12:28] 深圳市  科思  科技股份有限公司
[12:32] 近日爆出重大消息
[12:34] 該公司實際控制人兼董事長劉建德
[12:37] 因涉嫌違規
[12:38] 被「留置」並立案調查
[12:40] 消息一出
[12:41] 立即在金融市場引發震動
[12:44] 公司股價隔日大跌
[12:46] 甚至一度跌停
[12:47] 8月20日開盤後
[12:49] 科思科技在上午9點半就跌停
[12:52] 盤中最大跌幅高達20%
[12:55] 主力資金淨流出
[12:57] 超過2600萬
[12:58] 是這隻股票連續第2天下跌
[13:01] 公開資料顯示
[13:03] 科思科技成立於2004年
[13:05] 主要從事電子信息裝備的研發與生產
[13:09] 產品包括雷達信息處理 智能無人裝備等
[13:13] 屬於中共軍工產業鏈的重要企業
[13:16] 2020年
[13:17] 科思科技以「軍工電子+AI芯片」概念
[13:21] 登陸科創板
[13:22] 上市首日股價暴漲超過200%
[13:26] 但有報導認為
[13:28] 科思上市前巨額應收帳款迅速攀升
[13:31] 並出現審計保留意見
[13:33] 投資者質疑  其是否透過
[13:36] 「上下游熟人交易」來粉飾數據
[13:39] 或操控業績
[13:41] 劉建德是公司創始人之一
[13:43] 長期擔任核心管理職務
[13:45] 目前仍直接持有公司近38%的股份
[13:49] 是最大股東
[13:51] 近年
[13:51] 中共軍隊反腐風暴持續擴大
[13:54] 從整肅火箭軍開始
[13:56] 軍工體系也成為重中之重
[13:58] 專家 設計師 和董事長都有被查
[14:02] 台灣國防安全研究院研究員沈明室
[14:05] 曾對大紀元分析指出
[14:07] 中共四中全會之前
[14:09] 應該會有很多人事調整
[14:11] 但是誰上誰下
[14:12] 就會涉及派系問題了
[14:14] 習近平一直非常重視軍工產業
[14:17] 很多高層職位的人選都是習調過來的
[14:21] 但是過去這些年我們也看到
[14:24] 很多軍工產業涉及嚴重貪腐
[14:27] 導致一些高層落馬
[14:33] 8月19日
[14:35] 清華大學法學院教授
[14:36] 勞東燕在微博發表文章
[14:39] 稱近年來感受到一股強烈的力量
[14:42] 「拽著所有人下墜」
[14:44] 並批評當前社會環境中
[14:46] 「粗鄙」被當作真性情
[14:48] 美好事物被無情摧毀
[14:51] 勞東燕在文中指出
[14:52] 許多人將自身的壓力和痛苦轉化為戾氣
[14:57] 發洩在弱者身上
[14:58] 呈現「要爛大家一起爛」的心態
[15:02] 在這樣的環境下
[15:03] 試圖保持原有立場 不願隨波逐流的人
[15:06] 反而被視為有罪
[15:08] 這種氛圍讓有正常認知和共情能力的人
[15:12] 感到強烈的無力感 痛苦與壓抑
[15:15] 她進一步分析
[15:17] 當前若有人表現得「歲月靜好」
[15:20] 不感到壓力或痛苦
[15:22] 從心理學角度看「反而病得很重」
[15:25] 或「遲鈍得可以」
[15:27] 勞東燕認為這種「擺爛」行為
[15:29] 只會引發更大的社會崩潰
[15:32] 且無人能獨善其身
[15:34] 然而
[15:34] 這篇帖子發布不到10小時便遭微博以
[15:39] 「有害時政信息」為由刪除
[15:41] 勞東燕對此再次發文諷刺道
[15:44] 「有些自己生活在陰溝裡的人
[15:46] 總是妄想別人和他一樣
[15:48] 習慣在陰溝裡的生活」
[15:51] 勞東燕曾公開聲援被當局打壓的
[15:54] 清華大學法學教授許章潤
[15:57] 在中共專制環境下
[15:58] 勞東燕的大膽言論屢屢遭刪除
[16:02] 就在近日
[16:03] 中國還有一種社會現象引發熱議
[16:06] 那就是中國正在進入超單身時代
[16:09] 網易博主七夏光發帖說
[16:12] 人民日報怒批
[16:13] 年輕人不結婚
[16:15] 大家都不想活嗎
[16:16] 評論區說說你的看法
[16:18] 沒想到評論區瞬間翻車
[16:21] 網友紛紛留言吐槽說
[16:23] 民不畏死 奈何以死懼之
[16:26] 翻譯成現代語是
[16:27] 沒有後代子嗣
[16:28] 一了百了
[16:30] 現在的年輕人都覺醒了
[16:32] 送房子也不生
[16:34] 我們不是人
[16:35] 是楊蘭蘭的牛馬
[16:37] 你們做的太好了導致人口斷崖式下滑
[16:41] 等國家認清了不生的真實原因
[16:43] 並真正去解決的時候
[16:45] 才有可能提升
[16:47] 熬到他們樓塌就對了
[16:49] 更有網友直言
[16:50] 我們在等你們先走
[16:52] 這句話也說出了大家的心聲
[16:54] 引來網友多次轉發
[16:56] 點讚說
[16:57] 一針見血
[16:58] 最強音
[17:05] 這期的全球視野到這裡
[17:06] 就要和大家說再見了
[17:08] 接下來是美東時間
[17:10] 早晨3點的《熱點追蹤》
[17:12] 請繼續收看
[17:13] 關於今天的新聞話題
[17:15] 我們期待能收到您的觀點
[17:17] 不要忘記幫助我們點讚
[17:19] 定閱和轉發
[17:20] 非常感謝您的支持與收看
