Video P3IG1e4U3LQ
[04:01] 有现场的人后来这么形容那一幕
[04:05] 像是在沙场上拖走一具还在喘气的伤兵
[04:10] 难听但形容得很真
[04:11] 因为在中共建政以来这几乎是第一次
[04:14] 在政治局会议的现场有现任委员
[04:18] 被军队的人当场带走
[04:20] 另一种讲法是会场里只有张又侠点了名
[04:24] 给了定性真正的上车早就已经发生
[04:28] 在人镜头拍不到通稿不用写的地方
[04:31] 由军纪委和中纪委的专案组把人请走了
[04:34] 哪一个版本更真老实讲
[04:36] 现在谁也拿不出司法记录
[04:38] 给你盖章哪个百分之百正确
[04:41] 但不管是会场版还是场下版
[04:43] 有两件事是两边说法都一致的
[04:47] 第一那天上午马兴瑞没有真正坐在会议桌前
[04:51] 参加会议
[04:52] 第二军方是这次行动的主力
[04:56] 这就是真刀真枪是军队的枪
[04:59] 不过真正刺耳的不是抓人
[05:02] 而是几分钟之后习近平的反应
[05:05] 按理说自己亲信被军队押走
[05:08] 自己的权威当场被踩换成任何一个国家领袖
[05:13] 第一反应都该是拍桌子震怒出手维权
[05:17] 可据传习近平什么都没说
[05:19] 他只是悄悄把李希拉到一边
[05:21] 哆哆嗦嗦地交代了一句
[05:23] 你去看著千万别把你大嫂牵扯进去
[05:27] 大嫂是谁圈里人都懂说的是彭丽媛
[05:31] 马兴瑞是山东人在航太在新疆
[05:34] 都是山东帮的大将跟彭丽媛那一条线
[05:38] 多年来千丝万缕纠缠不清
[05:40] 所以你看军方的刀已经架到脖子上了
[05:44] 习近平脑子里第一个反应不是大局不是党国
[05:48] 而是别烧到我老婆别把这条山东线拔了
[05:52] 从这一句大嫂你就能看出来
[05:54] 习近平那个极权领袖的形象
[05:57] 当场垮塌成一个只想保住自家小院的
[06:00] 家天下掌门人
[06:01] 让我们记住两个画面一个是枪杆子翻身
[06:06] 一个是皇帝露了馅儿
[06:11] 抓人那一幕谁下令谁把人带走
[06:14] 圈子里心里都有数
[06:16] 真正要命的是挑在什么时候什么地方下手
[06:20] 大家再把二十八日的日程对一遍
[06:23] 上午是审议二十大中央巡视情况综合报告的
[06:27] 政治局会议
[06:28] 新闻联播只有一行行通稿打在屏幕上
[06:31] 一秒钟画面都没有
[06:33] 下午换成网络与信息安全的集体学习
[06:37] 会议室画面正常播了出来
[06:39] 但你一看座位表李希不见了马兴瑞也不在
[06:43] 镜头里给你的是一个眉头锁死
[06:46] 脸色铁青的张又侠
[06:48] 要抓马兴瑞其实不用这么高调
[06:52] 让专案组悄悄把人请走一样能办
[06:55] 他偏偏要挑政治局这个台面
[06:58] 把黑画面留给上午把阴脸留在下午
[07:01] 说白了张又侠不是在办一个案子
[07:05] 而是借这一刀当场宣布三件事
[07:09] 导弹和卫星的钥匙换主人了
[07:12] 军工的钱袋子换管家了
[07:15] 习近平为二十一大准备的接班班底开始拆骨了
[07:20] 先说导弹和卫星的航太线
[07:23] 你把那几天的新闻往一起一摆
[07:25] 二十八日上午的政治局会议之后没几天
[07:30] 军网高调宣布我国成功发射实践二十八号卫星
[07:34] 同一时期人民日报的海南版
[07:37] 一口气堆出文昌航太产业起飞
[07:40] 商用航太迈上新台阶这一串稿子
[07:44] 正常情况下刚在航太系统揪出一个大老虎
[07:49] 宣传口应该是躲着这三个字走的生怕联想
[07:53] 可这回反著来航太少帅刚刚栽了
[07:57] 却把整条航太线拎上头版
[08:00] 还专门强调我国我军某发射场
[08:03] 照常执行照常立功
[08:06] 这说明两件事
[08:07] 第一项目不会停停的是马兴瑞这个旧主人
[08:12] 体制在对全场释放一个讯号
[08:15] 发射场也好火箭也好都是国家的盘子
[08:19] 不是马兴瑞一个人的封地
[08:22] 第二功劳是其他人的了
[08:25] 马兴瑞长年掌控飞弹卫星运载火箭这条核心技术链
[08:30] 文昌也好酒泉太原那些发射场升级也好
[08:34] 背后一整套人马这么多年都算他的地盘
[08:38] 小马人被摘出去了航太线反而要连番报喜
[08:42] 而且字里行间刻意不提新疆不提马兴瑞
[08:46] 只强调我军某部我国某基地
[08:49] 这等于当著所有政治局委员的面说一句
[08:52] 看见没有马兴瑞可以抓
[08:55] 飞弹照样飞卫星照样上天
[08:59] 换的是主人不是行业
[09:02] 以后这个功劳只能记在军委帐上
[09:05] 不再记在你习家军和山东帮的帐上
[09:10] 换句大白话飞弹和卫星的钥匙
[09:13] 从习近平的内圈手里
[09:15] 被张又侠这帮军头当场拽回了军委手里
[09:19] 尖端那一块习近平不许再染指
[09:23] 这就是二十八日这场黑画面
[09:26] 配合后面航太宣传节奏
[09:28] 真正要告诉圈内人的潜台词
[09:31] 再说第二条钱袋子这条账本线
[09:34] 圈子里这两年最火的一个说法叫马兴瑞账本
[09:39] 大家传得有鼻子有眼
[09:41] 说他在军工航太那几年
[09:43] 一口气批了几十上百个百亿级的大盘子
[09:48] 有的项目刚立项就加码
[09:50] 有的连基本论证都没走完
[09:52] 钱已经顺着熟人公司自己人基金
[09:55] 一层一层淌出去
[09:57] 还有更夸张的版本说专案组一度查到
[10:00] 他身边的人手里光是来不及转移的现金
[10:04] 堆起来都能码出一面墙
[10:06] 这些故事我们节目里不能当判决书念
[10:10] 但有一点可以肯定
[10:12] 就连体制内的人都愿意冒着风险
[10:15] 用这么夸张的形容去讲这个盘子有多肥
[10:19] 这说明马兴瑞不只是有问题的干部
[10:22] 而是一整条军工提款通道的总阀门
[10:26] 一头连着火箭卫星飞弹试验场
[10:29] 一头连着金融地产地方政府的平台公司
[10:32] 中间再穿过一层层军工民企
[10:36] 高科技园区产业基金
[10:38] 这样一条线抓了马兴瑞关掉的不是一个人
[10:43] 而是一片利益森林
[10:45] 动一下阀门上游的研发试验场
[10:49] 中游的总装总包公司
[10:51] 下游的地方融资平台城投公司
[10:55] 全都跟著心里一紧
[10:57] 所以张又侠这刀对外讲叫军工腐败影响备战打仗
[11:02] 圈内听懂的是两句话这条提款线到此为止
[11:06] 以后军工预算这只大水龙头
[11:09] 不再接在习家军夫人线那边
[11:12] 要接回军委自己手里
[11:14] 简单翻成人话就是换管家
[11:18] 钱还是那笔钱大项目还是那些大项目
[11:22] 火箭要打卫星要发谁也不打算停
[11:26] 但过去是少帅说了算以后得变成军委说了算
[11:30] 整个军工盘子要从习近平布的那套自己人链条里
[11:35] 生生掰出来一大块塞回集体名义之下
[11:39] 这才叫换军工钱袋子
[11:41] 导弹和卫星的钥匙是一个层面
[11:45] 钱袋子换管家是第二个层面
[11:48] 两条线一合你再回头看二十八日那块黑画面
[11:52] 就不是简单的抓了一个新疆书记
[11:55] 而是当场宣布
[11:57] 习近平这十年亲手搭起来的
[11:59] 军工财政地方那套自己人循环
[12:03] 正在被一刀一刀拆开
[12:05] 从这一刻起党指挥枪这句话
[12:09] 在实际运作中已经开始反过来念
[12:12] 枪杆子开始学会自己选主人了
[12:17] 飞弹和卫星的钥匙换了主人
[12:19] 下一步要问的其实就一个问题
[12:23] 习近平的后路还在不在
[12:25] 要知道这一次掉下去的不是一个普通封疆大吏
[12:30] 而是他心里早就画进二零二七年剧本的接班梯队
[12:35] 最近被收进去的两个人
[12:38] 马兴瑞六十六岁新疆一把手军工出身
[12:42] 管过航天管过广东最后坐镇新疆
[12:47] 老习心里画的是管政务军工发展战略的太子
[12:51] 陈伟俊五十九岁新疆自治区党委副书记
[12:55] 政法委书记之江新军出身典型红色秘书系
[13:00] 按原本的设计是要进政治局
[13:03] 做那个跑机要的大总管管政法中办安保系统
[13:07] 组合起来就是一套完整的顾命班子加接班梯队
[13:12] 说白了就是给习家王朝铺一套未来的托孤制度
[13:17] 前台要有一个能站出来代表时代的总书记总理
[13:22] 后台再配一个熟悉他全部底牌的
[13:25] 中办政法大总管帮他看门盯人
[13:29] 守住家族线和山东帮
[13:31] 今天砍马兴瑞陈伟俊
[13:35] 明天所有还想当习的太子或顾命大臣的
[13:39] 都得掂量一个问题这颗头值不值那条线
[13:44] 等到二零二七年哪怕习近平人还坐在台上
[13:48] 回头一看军工少帅没了中办接班人没了
[13:52] 整个梯队被军方清得七七八八
[13:55] 那时他就只剩下一个头衔上的总书记
[13:58] 变成一个真正的孤家寡人
[14:01] 所以张又侠这一刀抹掉的不是一两个名字
[14:06] 而是老习这十年苦心搭建的那张传位路径图
[14:10] 接班梯队被敲断只是第一步
[14:13] 更致命的是过去半年一串名字接连掉队
[14:19] 钟绍军军委里直通中南海的习家眼线贴身多年
[14:23] 还有苗华、何卫东、何宏军
[14:26] 那一串大将星连根拔起
[14:29] 这些人有一个共同点全是习亲手扶上去的自己人
[14:34] 如果是习近平自己在主导反腐
[14:36] 他会一刀一刀砍向自己最信任最倚重的亲信吗
[14:40] 不会那就说明刀把子已经不完全在他手里了
[14:45] 谁在用刀是军方和元老
[14:48] 而且比任何时候都更敢往前伸手
[14:52] 现在是谁敢举证谁谁就能把对方推出去
[14:57] 抓不抓砍不砍不再只看习一个人的脸色
[15:01] 这才叫真正的真刀真枪见真章
[15:06] 同一时间官媒的口径也在变
[15:09] 政治局黑画面开会
[15:10] 几天后解放军报头版挂出真刀真枪见真章
[15:15] 新华社同步推出长文
[15:17] 推进党的自我革命要做到五个进一步到位
[15:21] 表面上还是那几句老话
[15:24] 自我革命抓到位管到底问到底
[15:27] 但你把时间轴摆在那儿
[15:29] 前脚是马兴瑞这一串习家军被传拿下
[15:33] 后脚就是清除病毒 严的氛围长期坚持
[15:38] 过去这些词是冲着周永康孙力军那一批人讲的
[15:43] 今天换一批名字再读一遍
[15:46] 更像是对准习家军
[15:48] 另一头是夫人线家族线频频起火
[15:51] 这几个月爆出来的几个敏感点
[15:54] 先是钟绍军母亲卖茶叶一斤茶叶标价几百万
[15:59] 被当成买官流水线的象征故事满网乱飞
[16:03] 后是香港大火这条线从楼宇安全到消防设备
[16:08] 到医疗服务一环套一环
[16:11] 被形容成一条赚人命钱的血腥财富链
[16:15] 最后都指向了夫人公司红色家族
[16:19] 这些说法有的是真实案底有的是坊间杂音
[16:23] 真假交错没有定论但有一点很清楚
[16:27] 围绕夫人线山东帮家族财富的舆论攻击
[16:30] 已经变成围猎习近平的一根根绳索
[16:34] 军方要动他不会只从火箭军航太系下手
[16:39] 还会从家庭夫人亲信老乡圈这一头
[16:44] 逐步抽丝剥茧
[16:46] 所以你才会看到那句极短极轻的最高指示
[16:51] 千万别把你大嫂牵扯进去
[16:54] 这是一个极权者在全场失控刀已架颈时
[16:59] 本能冒出的求生反应
[17:01] 一句大嫂暴露的不是某件私事
[17:05] 而是整个权力系统已经进入一种
[17:08] 谁先失控谁先下台的动态博弈状态
[17:12] 朋友们如果你觉得今天这一集
[17:15] 能帮你把黑画面后面那双手看得更清楚一点
[17:20] 也能听懂一句大嫂其实是在宣判谁先下台
[17:24] 那就请你帮江峰点个赞
[17:26] 让这条片子别被算法埋了
[17:29] 也请你订阅江峰视界打开小铃铛
[17:33] 以后每一次权力断层每一张黑画面
[17:37] 每一个怪异用词我们都在这里
[17:40] 跟你一起拆给明明白白
[17:42] 最后也欢迎你在评论区留一句你自己的判断
[17:46] 你觉得这一刀是哪一刻开始从党指挥枪
[17:51] 变成了枪先选主人
[17:53] 你的那句话也会是将来回头看时
[17:57] 一枚小小的见证
